rank,slack_ns,requirement_ns,datapath_delay_ns,logic_levels,path_group,startpoint,end_point,start_clock,end_clock
"1","0.056","0.000","0.217","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[3]/C","student_top_inst/Core_cpu/u_dcache/tag_way1_q_reg_0_63_3_5/RAMA/I","clk_out2_pll","clk_out2_pll"
"2","0.056","0.000","0.217","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[3]/C","student_top_inst/Core_cpu/u_dcache/tag_way1_q_reg_0_63_3_5/RAMA/I","clk_out2_pll","clk_out2_pll"
"3","0.067","0.000","0.286","0","","virtual_seg_50_d2_reg[31]/C","twin_controller_inst/status_buffer_reg[3][7]/D","clk_out1_pll","clk_out1_pll"
"4","0.067","0.000","0.286","0","","virtual_seg_50_d2_reg[31]/C","twin_controller_inst/status_buffer_reg[3][7]/D","clk_out1_pll","clk_out1_pll"
"5","0.073","0.000","0.235","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_target_q_reg[22]/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r2_128_191_21_23/RAMB/I","clk_out2_pll","clk_out2_pll"
"6","0.073","0.000","0.235","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_target_q_reg[22]/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r2_128_191_21_23/RAMB/I","clk_out2_pll","clk_out2_pll"
"7","0.073","0.000","0.291","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[6]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_0_63_0_2/RAMA/WADR4","clk_out2_pll","clk_out2_pll"
"8","0.073","0.000","0.291","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[6]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_0_63_0_2/RAMA/WADR4","clk_out2_pll","clk_out2_pll"
"9","0.073","0.000","0.291","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[6]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_0_63_0_2/RAMB/WADR4","clk_out2_pll","clk_out2_pll"
"10","0.073","0.000","0.291","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[6]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_0_63_0_2/RAMB/WADR4","clk_out2_pll","clk_out2_pll"
"11","0.073","0.000","0.291","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[6]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_0_63_0_2/RAMC/WADR4","clk_out2_pll","clk_out2_pll"
"12","0.073","0.000","0.291","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[6]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_0_63_0_2/RAMC/WADR4","clk_out2_pll","clk_out2_pll"
"13","0.073","0.000","0.291","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[6]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_0_63_0_2/RAMD/WADR4","clk_out2_pll","clk_out2_pll"
"14","0.073","0.000","0.291","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[6]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_0_63_0_2/RAMD/WADR4","clk_out2_pll","clk_out2_pll"
"15","0.074","0.000","0.216","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[11]/C","student_top_inst/Core_cpu/u_dcache/tag_way0_q_reg_0_63_9_11/RAMC/I","clk_out2_pll","clk_out2_pll"
"16","0.074","0.000","0.216","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[11]/C","student_top_inst/Core_cpu/u_dcache/tag_way0_q_reg_0_63_9_11/RAMC/I","clk_out2_pll","clk_out2_pll"
"17","0.078","0.000","0.218","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[14]/C","student_top_inst/Core_cpu/u_dcache/tag_way0_q_reg_0_63_12_14/RAMC/I","clk_out2_pll","clk_out2_pll"
"18","0.078","0.000","0.218","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[14]/C","student_top_inst/Core_cpu/u_dcache/tag_way0_q_reg_0_63_12_14/RAMC/I","clk_out2_pll","clk_out2_pll"
"19","0.078","0.000","0.220","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[8]/C","student_top_inst/Core_cpu/u_dcache/tag_way0_q_reg_0_63_6_8/RAMC/I","clk_out2_pll","clk_out2_pll"
"20","0.078","0.000","0.220","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[8]/C","student_top_inst/Core_cpu/u_dcache/tag_way0_q_reg_0_63_6_8/RAMC/I","clk_out2_pll","clk_out2_pll"
"21","0.080","0.000","0.204","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[4]/C","student_top_inst/Core_cpu/u_dcache/tag_way1_q_reg_64_127_3_5/RAMB/I","clk_out2_pll","clk_out2_pll"
"22","0.080","0.000","0.204","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[4]/C","student_top_inst/Core_cpu/u_dcache/tag_way1_q_reg_64_127_3_5/RAMB/I","clk_out2_pll","clk_out2_pll"
"23","0.081","0.000","0.225","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[8]/C","student_top_inst/Core_cpu/u_dcache/tag_way1_q_reg_64_127_6_8/RAMC/I","clk_out2_pll","clk_out2_pll"
"24","0.081","0.000","0.225","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[8]/C","student_top_inst/Core_cpu/u_dcache/tag_way1_q_reg_64_127_6_8/RAMC/I","clk_out2_pll","clk_out2_pll"
"25","0.083","0.000","0.286","1","","student_top_inst/Core_cpu/u_core/u_backend/u_dispatch/mem_entry_q_reg[2][uop][imm_s][23]/C","student_top_inst/Core_cpu/u_core/u_backend/u_dispatch/mem_entry_q_reg[1][uop][imm_s][23]/D","clk_out2_pll","clk_out2_pll"
"26","0.083","0.000","0.286","1","","student_top_inst/Core_cpu/u_core/u_backend/u_dispatch/mem_entry_q_reg[2][uop][imm_s][23]/C","student_top_inst/Core_cpu/u_core/u_backend/u_dispatch/mem_entry_q_reg[1][uop][imm_s][23]/D","clk_out2_pll","clk_out2_pll"
"27","0.085","0.000","0.183","1","","student_top_inst/Core_cpu/u_core/u_backend/u_execute/mem_req_addr_q_reg[1][1]/C","student_top_inst/Core_cpu/u_core/u_backend/u_execute/mem_req_addr_q_reg[0][1]/D","clk_out2_pll","clk_out2_pll"
"28","0.085","0.000","0.183","1","","student_top_inst/Core_cpu/u_core/u_backend/u_execute/mem_req_addr_q_reg[1][1]/C","student_top_inst/Core_cpu/u_core/u_backend/u_execute/mem_req_addr_q_reg[0][1]/D","clk_out2_pll","clk_out2_pll"
"29","0.085","0.000","0.230","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[6]/C","student_top_inst/Core_cpu/u_dcache/tag_way1_q_reg_64_127_6_8/RAMA/I","clk_out2_pll","clk_out2_pll"
"30","0.085","0.000","0.230","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[6]/C","student_top_inst/Core_cpu/u_dcache/tag_way1_q_reg_64_127_6_8/RAMA/I","clk_out2_pll","clk_out2_pll"
"31","0.085","0.000","0.361","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[3]/C","student_top_inst/Core_cpu/u_dcache/tag_way1_q_reg_0_63_3_5/RAMA/I","clk_out2_pll","clk_out2_pll"
"32","0.085","0.000","0.361","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[3]/C","student_top_inst/Core_cpu/u_dcache/tag_way1_q_reg_0_63_3_5/RAMA/I","clk_out2_pll","clk_out2_pll"
"33","0.085","0.000","0.284","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[6]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_128_191_9_11/RAMA/WADR4","clk_out2_pll","clk_out2_pll"
"34","0.085","0.000","0.284","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[6]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_128_191_9_11/RAMA/WADR4","clk_out2_pll","clk_out2_pll"
"35","0.085","0.000","0.284","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[6]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_128_191_9_11/RAMB/WADR4","clk_out2_pll","clk_out2_pll"
"36","0.085","0.000","0.284","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[6]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_128_191_9_11/RAMB/WADR4","clk_out2_pll","clk_out2_pll"
"37","0.085","0.000","0.284","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[6]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_128_191_9_11/RAMC/WADR4","clk_out2_pll","clk_out2_pll"
"38","0.085","0.000","0.284","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[6]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_128_191_9_11/RAMC/WADR4","clk_out2_pll","clk_out2_pll"
"39","0.085","0.000","0.284","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[6]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_128_191_9_11/RAMD/WADR4","clk_out2_pll","clk_out2_pll"
"40","0.085","0.000","0.284","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[6]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_128_191_9_11/RAMD/WADR4","clk_out2_pll","clk_out2_pll"
"41","0.086","0.000","0.229","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[13]/C","student_top_inst/Core_cpu/u_dcache/tag_way0_q_reg_0_63_12_14/RAMB/I","clk_out2_pll","clk_out2_pll"
"42","0.086","0.000","0.229","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[13]/C","student_top_inst/Core_cpu/u_dcache/tag_way0_q_reg_0_63_12_14/RAMB/I","clk_out2_pll","clk_out2_pll"
"43","0.086","0.000","0.229","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[6]/C","student_top_inst/Core_cpu/u_dcache/tag_way0_q_reg_0_63_6_8/RAMA/I","clk_out2_pll","clk_out2_pll"
"44","0.086","0.000","0.229","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[6]/C","student_top_inst/Core_cpu/u_dcache/tag_way0_q_reg_0_63_6_8/RAMA/I","clk_out2_pll","clk_out2_pll"
"45","0.086","0.000","0.229","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[13]/C","student_top_inst/Core_cpu/u_dcache/tag_way0_q_reg_64_127_12_14/RAMB/I","clk_out2_pll","clk_out2_pll"
"46","0.086","0.000","0.229","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[13]/C","student_top_inst/Core_cpu/u_dcache/tag_way0_q_reg_64_127_12_14/RAMB/I","clk_out2_pll","clk_out2_pll"
"47","0.086","0.000","0.190","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[15]/C","student_top_inst/Core_cpu/u_dcache/tag_way0_q_reg_64_127_15_17/RAMA/I","clk_out2_pll","clk_out2_pll"
"48","0.086","0.000","0.190","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[15]/C","student_top_inst/Core_cpu/u_dcache/tag_way0_q_reg_64_127_15_17/RAMA/I","clk_out2_pll","clk_out2_pll"
"49","0.087","0.000","0.248","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_return_pc_q_reg[0]/C","student_top_inst/Core_cpu/u_core/u_bpu/ras_q_reg_0_7_0_5/RAMA/I","clk_out2_pll","clk_out2_pll"
"50","0.087","0.000","0.248","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_return_pc_q_reg[0]/C","student_top_inst/Core_cpu/u_core/u_bpu/ras_q_reg_0_7_0_5/RAMA/I","clk_out2_pll","clk_out2_pll"
"51","0.088","0.000","0.244","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_target_q_reg[31]/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_tag_q_reg_r1_64_127_21_21/RAMC/I","clk_out2_pll","clk_out2_pll"
"52","0.088","0.000","0.244","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_target_q_reg[31]/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_tag_q_reg_r1_64_127_21_21/RAMC/I","clk_out2_pll","clk_out2_pll"
"53","0.089","0.000","0.196","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[4]/C","student_top_inst/Core_cpu/u_dcache/tag_way0_q_reg_0_63_3_5/RAMB/I","clk_out2_pll","clk_out2_pll"
"54","0.089","0.000","0.196","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[4]/C","student_top_inst/Core_cpu/u_dcache/tag_way0_q_reg_0_63_3_5/RAMB/I","clk_out2_pll","clk_out2_pll"
"55","0.092","0.000","0.190","1","","student_top_inst/Core_cpu/u_core/u_backend/u_execute/mem_probe_uop_q_reg[uop][imm_s][29]/C","student_top_inst/Core_cpu/u_core/u_backend/u_execute/mem_req_uop_q_reg[0][uop][imm_s][29]/D","clk_out2_pll","clk_out2_pll"
"56","0.092","0.000","0.190","1","","student_top_inst/Core_cpu/u_core/u_backend/u_execute/mem_probe_uop_q_reg[uop][imm_s][29]/C","student_top_inst/Core_cpu/u_core/u_backend/u_execute/mem_req_uop_q_reg[0][uop][imm_s][29]/D","clk_out2_pll","clk_out2_pll"
"57","0.093","0.000","0.303","1","","student_top_inst/Core_cpu/u_core/u_backend/u_execute/mem_req_addr_q_reg[1][1]/C","student_top_inst/Core_cpu/u_core/u_backend/u_execute/mem_req_addr_q_reg[0][1]/D","clk_out2_pll","clk_out2_pll"
"58","0.093","0.000","0.303","1","","student_top_inst/Core_cpu/u_core/u_backend/u_execute/mem_req_addr_q_reg[1][1]/C","student_top_inst/Core_cpu/u_core/u_backend/u_execute/mem_req_addr_q_reg[0][1]/D","clk_out2_pll","clk_out2_pll"
"59","0.093","0.000","0.191","1","","student_top_inst/Core_cpu/u_core/u_backend/u_execute/mem_probe_uop_q_reg[uop][imm_s][0]/C","student_top_inst/Core_cpu/u_core/u_backend/u_execute/mem_req_uop_q_reg[0][uop][imm_s][0]/D","clk_out2_pll","clk_out2_pll"
"60","0.093","0.000","0.191","1","","student_top_inst/Core_cpu/u_core/u_backend/u_execute/mem_probe_uop_q_reg[uop][imm_s][0]/C","student_top_inst/Core_cpu/u_core/u_backend/u_execute/mem_req_uop_q_reg[0][uop][imm_s][0]/D","clk_out2_pll","clk_out2_pll"
"61","0.093","0.000","0.297","1","","student_top_inst/Core_cpu/u_core/u_backend/u_dispatch/mem_entry_q_reg[2][uop][imm_s][31]/C","student_top_inst/Core_cpu/u_core/u_backend/u_dispatch/mem_entry_q_reg[1][uop][imm_s][31]/D","clk_out2_pll","clk_out2_pll"
"62","0.093","0.000","0.297","1","","student_top_inst/Core_cpu/u_core/u_backend/u_dispatch/mem_entry_q_reg[2][uop][imm_s][31]/C","student_top_inst/Core_cpu/u_core/u_backend/u_dispatch/mem_entry_q_reg[1][uop][imm_s][31]/D","clk_out2_pll","clk_out2_pll"
"63","0.094","0.000","0.200","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[19]/C","student_top_inst/Core_cpu/u_dcache/tag_way1_q_reg_64_127_18_19/RAMB/I","clk_out2_pll","clk_out2_pll"
"64","0.094","0.000","0.200","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[19]/C","student_top_inst/Core_cpu/u_dcache/tag_way1_q_reg_64_127_18_19/RAMB/I","clk_out2_pll","clk_out2_pll"
"65","0.095","0.000","0.332","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[5]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_128_191_0_2/RAMA/WADR3","clk_out2_pll","clk_out2_pll"
"66","0.095","0.000","0.332","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[5]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_128_191_0_2/RAMA/WADR3","clk_out2_pll","clk_out2_pll"
"67","0.095","0.000","0.332","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[5]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_128_191_0_2/RAMB/WADR3","clk_out2_pll","clk_out2_pll"
"68","0.095","0.000","0.332","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[5]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_128_191_0_2/RAMB/WADR3","clk_out2_pll","clk_out2_pll"
"69","0.095","0.000","0.332","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[5]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_128_191_0_2/RAMC/WADR3","clk_out2_pll","clk_out2_pll"
"70","0.095","0.000","0.332","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[5]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_128_191_0_2/RAMC/WADR3","clk_out2_pll","clk_out2_pll"
"71","0.095","0.000","0.332","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[5]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_128_191_0_2/RAMD/WADR3","clk_out2_pll","clk_out2_pll"
"72","0.095","0.000","0.332","0","","student_top_inst/Core_cpu/u_core/u_bpu/update_pc_q_reg[5]_rep/C","student_top_inst/Core_cpu/u_core/u_bpu/btb_target_q_reg_r1_128_191_0_2/RAMD/WADR3","clk_out2_pll","clk_out2_pll"
"73","0.095","0.000","0.363","1","","student_top_inst/Core_cpu/u_core/u_backend/u_execute/mem_req_uop_q_reg[0][rob_idx][4]/C","student_top_inst/Core_cpu/u_core/u_backend/complete_rob_idx_reg[2][4]/D","clk_out2_pll","clk_out2_pll"
"74","0.095","0.000","0.363","1","","student_top_inst/Core_cpu/u_core/u_backend/u_execute/mem_req_uop_q_reg[0][rob_idx][4]/C","student_top_inst/Core_cpu/u_core/u_backend/complete_rob_idx_reg[2][4]/D","clk_out2_pll","clk_out2_pll"
"75","0.096","0.000","0.327","0","","student_top_inst/Core_cpu/u_core/u_backend/u_execute/mem_req_uop_q_reg[0][rob_idx][4]/C","student_top_inst/Core_cpu/u_core/u_backend/u_execute/load_meta_uop_q_reg[1][rob_idx][4]/D","clk_out2_pll","clk_out2_pll"
"76","0.096","0.000","0.327","0","","student_top_inst/Core_cpu/u_core/u_backend/u_execute/mem_req_uop_q_reg[0][rob_idx][4]/C","student_top_inst/Core_cpu/u_core/u_backend/u_execute/load_meta_uop_q_reg[1][rob_idx][4]/D","clk_out2_pll","clk_out2_pll"
"77","0.096","0.000","0.203","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[2]/C","student_top_inst/Core_cpu/u_dcache/tag_way0_q_reg_64_127_0_2/RAMC/I","clk_out2_pll","clk_out2_pll"
"78","0.096","0.000","0.203","0","","student_top_inst/Core_cpu/u_dcache/req_tag_q_reg[2]/C","student_top_inst/Core_cpu/u_dcache/tag_way0_q_reg_64_127_0_2/RAMC/I","clk_out2_pll","clk_out2_pll"
