index,slack_ns,requirement_ns,datapath_delay_ns,logic_levels,startpoint_pin,endpoint_pin,path_group
1,-0.786,5.000,5.631,11,"student_top_inst/Core_cpu/u_core_top/load_head_q_reg[0]/C","student_top_inst/Core_cpu/u_core_top/u_dcache/tag_read_q_reg[7]/D","setup"
2,-0.752,5.000,5.595,11,"student_top_inst/Core_cpu/u_core_top/load_head_q_reg[0]/C","student_top_inst/Core_cpu/u_core_top/u_dcache/tag_read_q_reg[5]/D","setup"
3,-0.725,5.000,5.646,8,"student_top_inst/Core_cpu/u_core_top/u_dcache/g_data_bank[3].u_data_bank/mem_q_reg_0/CLKBWRCLK","student_top_inst/Core_cpu/u_core_top/exec_mem_addr_q_reg[31]/D","setup"
4,-0.722,5.000,5.643,9,"student_top_inst/Core_cpu/u_core_top/u_dcache/g_data_bank[3].u_data_bank/mem_q_reg_0/CLKBWRCLK","student_top_inst/Core_cpu/u_core_top/exec_mem_addr_q_reg[29]/D","setup"
5,-0.710,5.000,5.302,6,"student_top_inst/Core_cpu/u_core_top/u_dcache/g_data_bank[1].u_data_bank/mem_q_reg_1/CLKBWRCLK","student_top_inst/Core_cpu/u_core_top/scoreboard_q_reg[0][csr_src][27]/D","setup"
6,-0.696,5.000,5.617,8,"student_top_inst/Core_cpu/u_core_top/u_dcache/g_data_bank[3].u_data_bank/mem_q_reg_0/CLKBWRCLK","student_top_inst/Core_cpu/u_core_top/exec_mem_addr_q_reg[30]/D","setup"
7,-0.692,5.000,5.535,11,"student_top_inst/Core_cpu/u_core_top/load_head_q_reg[0]/C","student_top_inst/Core_cpu/u_core_top/u_dcache/tag_read_q_reg[4]/D","setup"
8,-0.677,5.000,5.521,11,"student_top_inst/Core_cpu/u_core_top/load_head_q_reg[0]/C","student_top_inst/Core_cpu/u_core_top/u_dcache/tag_read_q_reg[0]/D","setup"
9,-0.674,5.000,5.516,11,"student_top_inst/Core_cpu/u_core_top/load_head_q_reg[0]/C","student_top_inst/Core_cpu/u_core_top/u_dcache/tag_read_q_reg[3]/D","setup"
10,-0.667,5.000,5.588,9,"student_top_inst/Core_cpu/u_core_top/u_dcache/g_data_bank[3].u_data_bank/mem_q_reg_0/CLKBWRCLK","student_top_inst/Core_cpu/u_core_top/exec_mem_addr_q_reg[28]/D","setup"
