index,slack_ns,requirement_ns,datapath_delay_ns,logic_levels,startpoint_pin,endpoint_pin,path_group
11219,-0.175,5.000,4.745,6,"student_top_inst/Core_cpu/u_core_top/u_dcache/tag_q_reg/CLKBWRCLK","student_top_inst/Core_cpu/u_core_top/scoreboard_q_reg[1][result][13]/CE","setup"
11220,-0.175,5.000,4.745,6,"student_top_inst/Core_cpu/u_core_top/u_dcache/tag_q_reg/CLKBWRCLK","student_top_inst/Core_cpu/u_core_top/scoreboard_q_reg[1][result][15]/CE","setup"
11221,-0.175,5.000,4.745,6,"student_top_inst/Core_cpu/u_core_top/u_dcache/tag_q_reg/CLKBWRCLK","student_top_inst/Core_cpu/u_core_top/scoreboard_q_reg[1][result][5]/CE","setup"
11222,-0.175,5.000,5.092,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[2026]/D","setup"
11223,-0.175,5.000,5.009,4,"student_top_inst/Core_cpu/u_core_top/u_dcache/tag_q_reg/CLKBWRCLK","student_top_inst/Core_cpu/u_core_top/u_dcache/req_addr_q_reg[12]_rep__28/D","setup"
11224,-0.175,5.000,5.157,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[1130]/D","setup"
11225,-0.174,5.000,5.154,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[1354]/D","setup"
11226,-0.174,5.000,5.089,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[2040]/D","setup"
11227,-0.173,5.000,4.614,0,"student_top_inst/cpu_rst_sync_reg/C","student_top_inst/Core_cpu/u_core_top/scoreboard_q_reg[0][csr_addr][4]/R","setup"
11228,-0.173,5.000,4.614,0,"student_top_inst/cpu_rst_sync_reg/C","student_top_inst/Core_cpu/u_core_top/scoreboard_q_reg[0][pc][28]/R","setup"
